query	doc_id	label	similiarity
In addition to the basic approach of concatenation of in-domain and out-of-domain data, we also trained a log-linear mixture model (Foster and Kuhn, 2007) as well as the linear mixture model of (Foster et al, 2010) for conditional phrase-pair probabilities over IN and OUT	[28, 42]	[1, 1]	[0.34735843539237976, 0.4832894206047058]
In addition, discriminative weighting methods were proposed to assign appropriate weights to the sentences from training corpus (Matsoukas et al, 2009) or the phrase pairs of phrase table (Foster et al, 2010)	[26, 152]	[1, 1]	[0.6469727158546448, 0.565213143825531]
In addition, we can also infer a positive contribution of the frequency of a sense with the choice of the first synset returned by Word net resulting in a reasonable WSD heuristic (which is compatible with the results by McCarthy et al (2004))	[188]	[1]	[0.6534133553504944]
In addition, we implemented the unsupervised method of (McCarthy et al, 2004), which calculates a prevalence score for each sense of a word to predict the predominant sense	[81]	[1]	[0.3842899203300476]
In doing so, we provide first results on the application to French parsing of WordNet automatic sense ranking (ASR), using the method of McCarthy et al (2004)	[175]	[1]	[0.669930100440979]
In fact, for any CFG G, it 1See Liang et al (2011) for work in representing lambda calculus expressions with trees	[20]	[1]	[0.3431757092475891]
In order to avoid losing the benefits of higher-order parsing, we considered applying pseudo-projective transformation (Nivre and Nilsson, 2005)	[1, 0, 104]	[1, 1, 1]	[0.40905821323394775, 0.7370027303695679, 0.3469982445240021]
In particular, Clarke et al (2010) and Liang et al (2011) proposed methods to learn from question answer pairs alone, which represents a significant advance	[132]	[1]	[0.6862737536430359]
In particular, we cast new light on the relationship between CCG and other mildly context-sensitive formalisms such as Tree-Adjoining Grammar (TAG; Joshi and Schabes (1997)) and Linear Context-Free Rewrite Systems (LCFRS; Vijay-Shanker et al (1987))	[214, 207]	[1, 1]	[0.5202913880348206, 0.34462031722068787]
In previously reported work, (Mimno et al, 2009) evaluate parallel document retrieval using PLTM on Europarl speeches in English and Spanish, using training and test sets of size similar to ours	[129]	[1]	[0.633010983467102]
In the Opinum system we query the M p, M n models with the KenLM (Heafield, 2011) open-source library because it answers the queries very quickly and has a short loading time, which is suitable for a web application	[0]	[1]	[0.6605158448219299]
In the first, we assumed that the test set for each target language had gold part-of-speech tags, and in the second we used predicted part-of-speech tags from the projection tagger of Das and Petrov (2011), which also uses English as the source language	[18, 0]	[1, 1]	[0.516878604888916, 0.531727135181427]
Incremental top-down and left-corner parsing (Roark, 2001a; Roark, 2001b) and head-driven parsing (Charniak, 2001) approaches have directly used generative PCFG models as language models	[0, 102, 400]	[1, 1, 1]	[0.6954379081726074, 0.6510208249092102, 0.6619824767112732]
Instead, we use the evaluation measure of (Tsarfaty, 2006), also used in (Goldberg and Tsarfaty, 2008), which is an adaptation of parseval to use characters instead of space-delimited tokens as its basic units	[73]	[1]	[0.6087656617164612]
Introduce through post-processing ,e.g. through reattachment rules (Bick, 2006) or if the change increases overall parse tree probability (McDonald et al, 2006)	[11]	[1]	[0.5493340492248535]
It is the same grammar as described in (Goldberg and Tsarfaty, 2008)	[136]	[1]	[0.4683479964733124]
It should be noted that the proportion of lost dependencies is about twice as high as the proportion of dependencies that are non-projective in themselves (Nivre and Nilsson, 2005)	[14, 80]	[1, 1]	[0.6656752228736877, 0.39060941338539124]
Jiang et al (2008) proposes a cascaded linear model for joint Chinese word segmentation and POS tagging	[1, 0, 130, 56]	[1, 1, 1, 1]	[0.7334217429161072, 0.7583643198013306, 0.671104371547699, 0.38345322012901306]
LCFRS (Vijay-Shanker et al, 1987) are a natural extension of CFG in which a single nonterminal node can dominate more than one continuous span of terminals	[74]	[1]	[0.36497023701667786]
Levy, on the other hand, argued that studies of probabilistic parsing reveal that typically a small number of analyses are assigned the majority of probability mass (Roark, 2001)	[267]	[1]	[0.4657581150531769]
Linear Context-Free Rewriting Systems Gap-restricted dependency languages are closely related to Linear Context-Free Rewriting Systems (lcfrs) (Vijay-Shanker et al, 1987), a class of formal systems that generalizes several mildly context-sensitive grammar formalisms	[92, 2, 207, 214, 134]	[1, 1, 1, 1, 1]	[0.7016361951828003, 0.47155526280403137, 0.6579357385635376, 0.5656910538673401, 0.38445767760276794]
MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007))	[0, 18]	[1, 1]	[0.7380068302154541, 0.7076048254966736]
Matsoukas et al (2009) propose an approach where each sentence is weighted according to a classifier, and Foster et al (2010) extend this approach by weighting individual phrase pairs	[26, 65, 152, 67]	[1, 1, 1, 1]	[0.5896238088607788, 0.6173089146614075, 0.6306806802749634, 0.755409300327301]
Matuszek et al [2010], Liang et al [2011] and Chen and Mooney [2011] describe models that learn compositional semantics, but word meanings are symbolic structures rather than patterns of features in the external world	[0, 165]	[1, 1]	[0.7132108807563782, 0.5062364339828491]
McCarthy et al (2004) report a disambiguation precision of 53.0% and recall of 49.0% on the Senseval-2 test data, using an approach that derives sense ranking based on word similarity and distributional analysis in a corpus	[175]	[1]	[0.315991073846817]
McCarthy et al (2004) reported that the best results were obtained using k= 50 neighbors and the Wordnet Similarity jcn measure (Jiang and Conrath, 1997)	[79, 63, 188]	[1, 1, 1]	[0.7103778123855591, 0.44041764736175537, 0.3459893763065338]
McCarthy et al (2004) use a corpus and word similarities to induce a ranking of word senses from an untagged corpus to be used in WSD	[0]	[1]	[0.6179049611091614]
McDonald et al (2006) use an additional algorithm	[11, 13]	[1, 1]	[0.4345533549785614, 0.4232555329799652]
McDonald et al (2006) use post-processing for non-projective dependencies and for labeling	[11]	[1]	[0.4310447871685028]
Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels	[6]	[1]	[0.4075545370578766]
Miller et al (2000) address the task of relation extraction from the statistical parsing viewpoint	[0]	[1]	[0.3887982666492462]
Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees	[34, 95]	[1, 1]	[0.6663441061973572, 0.3360503017902374]
Mimno et al (2009) extend the original concept of LDA to support polylingual topic models (PLTM), both on parallel (such as EuroParl) and partly comparable documents (such as Wikipedia articles)	[35, 29]	[1, 1]	[0.6299448013305664, 0.43885889649391174]
Mimno et al (2009) showed that so long as the proportion of topically-aligned to non-aligned documents exceeded 0.25, the topic distributions (as measured by mean Jensen-Shannon Divergence between distributions) did not degrade significantly	[122]	[1]	[0.5641840100288391]
Mitchell and Lapata (2008) introduce a whole family of models of compositionality based on vector addition and point wise-multiplication (and a weighted combination of both), evaluated on a sentence similarity task inspired by Kintsch (2001)	[190, 88, 168]	[1, 1, 1]	[0.3850666582584381, 0.7491854429244995, 0.4126586616039276]
Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition	[57]	[1]	[0.394931823015213]
Mitchell and Lapata (2008) propose a framework to represent the meaning of the combination p+ a as a function f operating on four components: c= f (p, a, R, K) (3) R is the relation holding between p and a, and K additional knowledge	[1]	[1]	[0.496366947889328]
Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor)	[57, 189]	[1, 1]	[0.42835548520088196, 0.6180840134620667]
Models that in addition incorporate morphological analysis and segmentation have been explored by Tsarfaty (2006), Cohen and Smith (2007), and Goldberg and Tsarfaty (2008) with special reference to Hebrew parsing	[49, 0, 190]	[1, 1, 1]	[0.3524371087551117, 0.5202201008796692, 0.41940203309059143]
More recently, Liang et al (2011) proposed DCS for dependency-based compositional semantics, which represents a semantic parse as a tree with nodes representing database elements and operations, and edges representing relational joins	[0]	[1]	[0.7142239212989807]
Most of the approaches for relation extraction rely on the mapping of syntactic dependencies, such as SVO, onto semantic relations, using either pattern matching or other strategies, such as probabilistic parsing for trees augmented with annotations for entities and relations (Miller et al 2000), or clustering of semantically similar syntactic dependencies, according to their selectional restrictions (Gamallo et al, 2002)	[34]	[1]	[0.4128915071487427]
Multilingual LDA has been used before in natural language processing, e.g. polylingual topic models (Mimno et al, 2009) or multilingual topic models for unaligned text (Boyd-Graber and Blei, 2009)	[29, 0, 35, 6]	[1, 1, 1, 1]	[0.5193451642990112, 0.7159338593482971, 0.6427859663963318, 0.3704169690608978]
Nivre and Nilsson (2005) showed how the restriction to projective dependency graphs could be lifted by using graph transformation techniques to preprocess training data and post-process parser output, so-called pseudo-projective parsing	[2, 20, 109]	[1, 1, 1]	[0.4269941747188568, 0.48023757338523865, 0.585358202457428]
On this line of investigation, mildly context-sensitive grammar formalisms have been introduced (Joshi,1985), including, among several others, the tree ad joining grammars (TAGs) of Joshi et al (1975). Linear context-free rewriting system (LCFRS), introduced by Vijay-Shanker et al (1987), is a mildly context-sensitive formalism that allows the derivation of tuples of strings, i.e., discontinuous phrases	[214, 27, 24, 74]	[1, 1, 1, 1]	[0.4580724537372589, 0.501605749130249, 0.5432438254356384, 0.7262281775474548]
One line of work eliminates the need for an annotated logical form, instead using only the correct answer for a database query (Lianget al 2011) or even a binary correct/incorrect signal (Clarke et al2010)	[9, 117]	[1, 1]	[0.6108984351158142, 0.4209339916706085]
Our Wikipedia-based topic similarity feature, w (f, e), is similar in spirit to polylingual topic models (Mimno et al 2009), but it is scalable to full bilingual lexicon induction	[29, 32, 0]	[1, 1, 1]	[0.6950461268424988, 0.5091190934181213, 0.6906320452690125]
Our baseline joint PLSA model (JPLSA) is closely related to the poly-lingual LDA model of (Mimno et al, 2009)	[35]	[1]	[0.5645272135734558]
Our particular model, LinkLDA, has been applied to a few NLP tasks such as simultaneously modeling the words appearing in blog posts and users who will likely respond to them (Yano et al, 2009), modeling topic-aligned articles in different languages (Mimno et al, 2009), and word sense induction (Brody and Lapata, 2009)	[32]	[1]	[0.5810272693634033]
Our quantization approach follows Federico and Bertoldi (2006) and Heafield (2011) in partitioning the value histogram into 256 equal-sized buckets	[92]	[1]	[0.6013326048851013]
Our translation system uses cdec (Dyer et al,2010), an implementation of the hierarchical phrase based translation model (Chiang, 2007) that uses the KenLM library (Heafield, 2011) for language model inference	[21]	[1]	[0.7103551030158997]
Parsing and segmentation are handled jointly by the parser (Goldberg and Tsarfaty, 2008)	[0]	[1]	[0.5885717272758484]
Performance of the latter model on the standard test set achieves 90.1% F-measure on constituents, which is the second best current accuracy level, and only 0.6% below the current best (Bod, 2003)	[140]	[1]	[0.4298684597015381]
Previous joint models mainly focus on word segmentation and POS tagging task, such as the virtual nodes method (Qian et al2010), cascaded linear model (Jiang et al2008a), perceptron (Zhang and Clark, 2008), sub-word based stacked learning (Sun, 2011), re ranking (Jiang et al2008b)	[0, 1]	[1, 1]	[0.6645947098731995, 0.35371044278144836]
Previous research in inducing sense rankings from an untagged corpus (McCarthy et al, 2004), and inducing selectional preferences at the word level (for other applications) (Erk, 2007) will provide the starting point for research in this direction	[0, 175]	[1, 1]	[0.590758204460144, 0.6632604002952576]
Pseudo-projective parsing for recovering non projective structures (Nivre and Nilsson, 2005)	[0, 1]	[1, 1]	[0.7765156626701355, 0.34460514783859253]
Pseudo-projective parsing was proposed by Nivreand Nilsson (2005) as a way of dealing with non projective structures in a projective data-driven parser	[109, 0, 2]	[1, 1, 1]	[0.5007908940315247, 0.7697634696960449, 0.3465331792831421]
Regarding the data-driven parsers, we have made use of MaltParser (Nivre et al, 2007b) and MST Parser (McDonald et al, 2006), two state of the art dependency parsers representing two dominant approaches in data-driven dependency parsing, and that have been successfully applied to typologically different languages and tree banks (McDonald and Nivre, 2007)	[104]	[1]	[0.7403519749641418]
Regarding the system combination study, Henderson and Brill (1999) propose two parser combination schemes, one that selects an entire tree from one of the parsers, and one that builds a new tree by selecting constituents suggested by the initial trees	[97]	[1]	[0.3768223226070404]
Sagae and Tsujii (2007)'s dependency parser, based on a probabilistic shift-reduce algorithm extended by the pseudo-projective parsing technique (Nivre and Nilsson, 2005)	[0, 109]	[1, 1]	[0.7257316708564758, 0.47457465529441833]
Second, their language models were used to rescore n-best speech lists (supplied by Brian Roark, see Roark (2001))	[92]	[1]	[0.47081229090690613]
Second, we compare against a composed-rule system, which is analogous to the Data Oriented Parsing (DOP) approach in parsing (Bod, 2003)	[113]	[1]	[0.42401888966560364]
Similarly, Polylingual Topic Models (PLTM) (Mimno et al, 2009) generalized LDA to tuples of documents from multiple languages	[35, 0]	[1, 1]	[0.647849977016449, 0.75017249584198]
Since the PLTM is not a contribution of this paper, we refer the interested reader to (Mimno et al, 2009) for more details	[9]	[1]	[0.5747857093811035]
Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features	[18, 113, 0]	[1, 1, 1]	[0.5045934319496155, 0.6201956868171692, 0.6593120098114014]
Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers	[0, 6, 18, 40]	[1, 1, 1, 1]	[0.7368953824043274, 0.34485146403312683, 0.6717236638069153, 0.5807909369468689]
Table 5 shows the official results for submitted parser outputs. The two participant groups with the highest total score are McDonald et al (2006) and Nivre et al (2006)	[58, 4, 104]	[1, 1, 1]	[0.6652448177337646, 0.5405968427658081, 0.7205095887184143]
Technically, each germ in a DCS tree indicates a variable when the DCS tree is translated to a FOL formula, and the abstract denotation of the germ corresponds to the set of consistent values (Liang et al, 2011) of that variable	[84, 42]	[1, 1]	[0.4321856200695038, 0.5570115447044373]
The English German systems were trained on the full 751,088 sentence Europarl corpus and evaluated on the WMT 2006 test set (Koehn and Monz, 2006)	[9, 5]	[1, 1]	[0.6071553230285645, 0.4275798797607422]
The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences	[160, 22]	[1, 1]	[0.7097377181053162, 0.7318528890609741]
The approach that Vijay-Shanker et al (1987) and Weir (1988) take, elaborated on by Becker et al (1992), is to identify a very general class of formalisms, which they call linear context free rewriting systems (CFRSs), and define for this class a large space of structural descriptions which serves as a common ground in which the strong generative capacities of these formalisms can be compared	[92, 117]	[1, 1]	[0.36920151114463806, 0.32769304513931274]
The correlations on the document level were computed on the English, French, Spanish and German texts generated by various translation systems in the framework of the first (Koehn and Monz, 2006), second (Callison-Burch et al, 2007) and third shared translation task (Callison-Burchet al, 2008)	[39, 140]	[1, 1]	[0.7171773314476013, 0.5127662420272827]
The factors used in the algorithms and the algorithms themselves are evaluated on a German corpus annotated with syntactic and co reference in formation (Negra) (Skut et al, 1997)	[166, 143]	[1, 1]	[0.3676644265651703, 0.3813953101634979]
The features used are basic lexical features, word penalty and a 3-gram Language Model (Heafield, 2011)	[68]	[1]	[0.4170437455177307]
The first sense heuristic which is often used as a baseline for supervised WSD systems outperforms many of these systems which take surrounding context into account (McCarthy et al, 2004)	[8, 14, 2, 107, 48]	[1, 1, 1, 1, 1]	[0.7853887677192688, 0.5257720351219177, 0.6075450778007507, 0.6898391842842102, 0.30240824818611145]
The first, most frequent sense (MFS) (McCarthy et al, 2004), is widely used baseline for supervised WSD systems	[8]	[1]	[0.688288152217865]
The highest score on parsing German in the CoNLL-X shared task was obtained by the system of McDonald et al (2006) with a LAS of 87.34 based on the TIGER tree bank, but we want to stress that these results are not comparable due to different data sets (and a different policy regarding the inclusion of punctuation). The constituency versions were evaluated according to the labeled recall (LR), labeled precision (LP) and labeled F-score (LF)	[4]	[1]	[0.6740354299545288]
The language model was compiled into KenLM probing format (Heafield, 2011) and placed in RAM while text phrase tables were forced into the disk cache before each run	[223, 0]	[1, 1]	[0.7591183185577393, 0.5351706147193909]
The method is described in (McCarthy et al, 2004), which we summarise here	[64]	[1]	[0.7314460873603821]
The model of Goldberg and Tsarfaty (2008) uses a morphological analyzer to constructs a lattice for each input token	[133]	[1]	[0.4827604293823242]
The most popular strategy for capturing non projective structures in data-driven dependency parsing is to apply some kind of post-processing to the output of a strictly projective dependency parser, as in pseudo-projective parsing (Nivre and Nilsson, 2005), corrective modeling (Hall and Nova? k, 2005), or approximate non-projective parsing (McDonald and Pereira, 2006)	[109, 0]	[1, 1]	[0.4947952330112457, 0.7093899250030518]
The most recent of which is Goldberg and Tsarfaty (2008), who presented a model based on unweighted lattice parsing for performing the joint task	[0]	[1]	[0.6177701354026794]
The official results were slightly better because a lowercase evaluation was used, see (Koehn and Monz, 2006)	[35]	[1]	[0.3917798697948456]
The parser is an incremental beam-search parser very similar to the sort described in Roark (2001a; 2004), with some changes in the search strategy to accommodate the perceptron feature weights	[268, 223]	[1, 1]	[0.665397584438324, 0.5390278697013855]
The parser of Charniak (2000) is also a two-stage ctf model, where the first stage is a smoothed Markov grammar (it uses up to three previous constituents as context), and the second stage is a lexicalized Markov grammar with extra annotations about parents and grandparents	[98, 171]	[1, 1]	[0.5760986804962158, 0.6469740271568298]
