query	doc_id	label
A number of feature-based methods have been proposed, including Bayesian classifiers (Gale, Church, and Yarowsky, 1993), decision lists (Yarowsky, 1994), Bayesian hybrids (Golding, 1995), and, more recently, a method based on the Winnow multiplicative weight-updating algorithm (Golding and Roth, 1996).	[25, 9, 18, 333, 262, 53, 258]	[1, 1, 1, 1, 1, 1, 1]
"A number of studies are related to the work we presented, most specifically work on parallel-text based ""information projection"" for parsing (Hwa et al., 2002), but also grammar induction work based on constituent/distituent information (Klein and Manning, 2002) and (language-internal) alignment based learning (van Zaanen, 2000)."	[7]	[1]
A particularly attractive approach, called distant supervision (DS), creates labeled data by heuristically aligning entities in text with those in a knowledge base, such as Freebase (Mintz et al, 2009).	[0, 20]	[1, 1]
A principled solution to this problem is to use an SRL system for nominal predicates trained using NomBank (Meyers et al., 2004).	[156]	[1]
A recent multi-purpose framework in distributional semantics is Distributional Memory (DM, Baroni and Lenci (2010)).	[58, 0, 6, 12, 806]	[1, 1, 1, 1, 1]
A recent shared task in biomedical text mining, the BioNLP 09 Shared Task on Event Extraction (Kim et al, 2009), showed that the biomedical natural language processing (BioNLP) community is greatly interested in heading towards the extraction of deep, semantically rich relationships.	[0, 51]	[1, 1]
A recent study by Smith et al (2010) extracted parallel sentences from comparable corpora to extend the existing resources.	[153]	[1]
A similar observation was reported in the parsing literature, where coarse-to-fine inference with multiple passes of roughly equal complexity produces tremendous speed-ups (Petrov and Klein, 2007).	[0]	[1]
A synchronous derivation process for the two syntactic structures of both languages suggests the level of cross-lingual isomorphism between the two trees (e.g. Synchronous Tree Adjoining Grammars (Shieber and Schabes, 1990)).	[0]	[1]
A wide spectrum of tasks have been studied under review mining, ranging from coarse-grained document-level polarity classification (Pang et al,2002) to fine-grained extraction of opinion expressions and their targets (Wu et al, 2009).	[165, 13]	[1, 1]
AMaximum Entropy methods (Borthwick et al. 1998, Chieu and Ng 2002)	[46]	[1]
Accuracy for XLE is not given, because the results reported by Kaplan et al (2004) compare labeled functional dependencies drawn from LFG f-structures with equivalents derived automatically from Collins outputs.	[15]	[1]
Again, the vocabulary of the language model trained on a subset of the general domain corpus was restricted to only cover those tokens found in the in-domain corpus, following Moore and Lewis (2010).	[77, 49, 50, 26]	[1, 1, 1, 1]
Against the PARC 700, the hand-crafted LFG grammar reported in (Kaplan et al, 2004) achieves an f score of 79.6%.	[157]	[1]
Also from these 321 frames only 100 were considered to have enough training data and were used in Senseval-3 (see (Litkowski, 2004) for more details).	[23]	[1]
Alternatively, decisions from the sentence classifier can guide which input is seen by the document level classifier (Pang and Lee, 2004).	[19]	[1]
Although it can be used in its current form for data-driven Sentiment Analysis (Pang et al., 2002; Pang and Lee, 2004; Kim and Hovy, 2004; Popescu and Etzioni, 2005; Su and Markert, 2009; DanescuNiculescu- Mizil et al., 2009), or for lexical sentiment analysis tasks (Strapparava and Mihalcea, 2007; Su and Markert, 2009), it could also be used as a training set for supervised classifiers that would subsequently be applied for the improvement of Q-WordNet.	[9]	[1]
Although it is beyond the scope of our research, we conjecture that there exists a Monte Carlo disambiguation algorithm for at least Stochastic Tree-Adjoining Grammar (Schabes, 1992).	[0]	[1]
Although most generation systems pipeline decisions (Reiter, 1994), we believe the most efficient and flexible way to integrate constraints in sentence planning is to synchronize the decisions.	[32]	[1]
Although related to Callison-Burch et al (2006) our method is conceptually simpler and more general.	[73]	[1]
Although see (Goodman 1996) for an efficient algorithm for the DOP model, which we discuss in section 7 of this paper.	[0, 56, 223, 11]	[1, 1, 1, 1]
Although this work aims at learning only nouns, in the subsequent work, they also proposed a bootstrapping method that can deal with phrases (Riloff and Wiebe, 2003).	[27]	[1]
Although we have not discussed it to this point, (Collins and Roark, 2004) present a perceptron algorithm for use with the Roark architecture.	[125, 173]	[1, 1]
Among these methods, the one using Naive Bayesian Ensemble (i.e., an ensemble of Naive Bayesian Classifiers) is reported to perform the best for word sense disambiguation with respect to a benchmark data set (Pedersen 2000).	[15, 0, 33, 19]	[1, 1, 1, 1]
An existing SCFG parser (Schmid, 2004) was then used, with a simple unknown word heuristic, to generate the Viterbi n-best parses with n= 100, and, after removing the address labels, all equal parses and their probabilities were summed, and the one with highest probability chosen.	[20]	[1]
An obvious first step, which we are currently working on, is to include a linguistically motivated temporal ontology (Moens and Steedman,1988), which will be separate from the existing do main ontology.	[0, 357, 275]	[1, 1, 1]
An unsupervised method (Chodorow and Leacock, 2000) is employed to detect grammatical errors by inferring negative evidence from TOEFL administrated by ETS.	[1, 0, 177]	[1, 1, 1]
Analogous to our prediction task, Lin and Hsin Yihn (2008) and Socher et al (2011) investigated predicting the emotion of a reader from the text that s/he reads.	[222]	[1]
Another difference is that the system in Morante and Daelemans (2009) used shallow syntactic features, whereas this system uses features from both shallow and dependency syntax.	[110]	[1]
Another issue regarding WindowDiff is that it is not clear 'how does one interpret the values produced by the metric' (Pevzner and Hearst, 2002).	[276]	[1]
Another perplexity-based approach is that taken by Moore and Lewis (2010), where they use the cross-entropy difference as a ranking function rather than just cross-entropy.	[22, 54, 21, 23]	[1, 1, 1, 1]
Another venue of research may be to exploit different thesauri, such as the ones automatically derived as in (Curran and Moens, 2002).	[19]	[1]
Another way for determiner deletion is described in (Lee, 2004).	[36, 15]	[1, 1]
Application of cascades of weighted string transducers (WSTs) has been well-studied (Mohri,1997).	[53, 176]	[1, 1]
Approach Accuracy % Precision % Recall % F-Measure % Fernando et al.(2008) [40] 74.1 75.2 91.3 82.4 Mihalcea et al.(2006) [41] 70.3 69.6 97.7 81.3 Proposed system variant WSD, threshold = 0.2, top 50% 66.4 81.0 65.2 72.3 Cosine similarity, threshold = 0.7 (Wubben et al. [9]) 62.5 80.5 56.6 66.5 k-Means clustering (Wubben et al. [9]) 60.6 70.6 71.0 70.8 FCM clustering 36.2 68.1 9.5 16.7 Table 6 Performance of proposed system on MSRVDC Dataset 1.	[39]	[1]
Approximate parsers have there fore been introduced, based on belief propagation (Smith and Eisner, 2008), dual decomposition (Koo et al, 2010), or multi-commodity flows (Martins et al, 2009, 2011).	[31, 18, 167]	[1, 1, 1]
As Wacholder et al (1997) noted, it is fairly common for one of the mentions of an entity in a document to be a long, typical surface form of that entity (e.g., George W. Bush), while the other mentions are shorter surface forms (e.g., Bush).	[63, 64, 35]	[1, 1, 1]
As a Japanese dependency analyzer based on the cascaded chunking model, we use the publicly available version of CaboCha (Kudo and Matsumoto, 2002), which is trained with the manually parsed sentences of Kyoto text corpus (Kurohashi and Nagao, 1998), that are 38,400 sentences selected from the 1995 Mainichi newspaper text.	[85, 81]	[1, 1]
As a learning model, we use unigram language modelling introduced in (Collins-Thompson and Callan, 2004) to model the reading level of subjects in primary and secondary school.	[0]	[1]
As a second experiment, we analyze incorrect sense assignments on SemEval-2 Task 14 (Manandhar et al., 2010) to measure whether sense-relatedness biases which sense was incorrectly selected.	[0]	[1]
As an evidence, the CWS evaluation campaign, the Sighan Bakeoff (Emerson, 2005) has been held four times since 2004.	[10]	[1]
As an illustration of the need to combine grammatical paraphrasing with data-driven paraphrasing, consider the example that Zhao et al (2009) use to illustrate the application of their paraphrasing method to similarity detection, shown in Table 1.	[0, 161, 126]	[1, 1, 1]
As another example, Denis and Baldridge (2007) and Finkel and Manning (2008) perform joint inference for anaphoricity determination and coreference resolution, by using Integer Linear Programming (ILP) to enforce the consistency between the output of the anaphoricity classifier and that of the coreference classifier.	[0]	[1]
As described e.g. in Mladova et al. (2009), the annotation framework that we use is based on the knowledge obtained from studying various other systems, especially the Penn Discourse Treebank (Prasad et al., 2008), but naturally it has been adjusted to specific needs of the Czech language and PDT.	[0]	[1]
As for paraphrase, Sekineâ€™s Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.	[23, 3, 205]	[1, 1, 1]
As in (Ratnaparkhi, 1998), we constructed a training data set consisting of only unambiguous.	[70]	[1]
As stated above, we aim to build an unsupervised generative model for named entity clustering, since such a model could be integrated with unsupervised coreference models like Haghighi and Klein (2007) for joint inference.	[0]	[1]
As we are not interested in unsupervised inference, the system of Poon and Domingos (2008) was unsuitable for our needs.	[17]	[1]
As with (Taskar et al, 2005b), we use the large-margin structured prediction model.	[40, 39]	[1, 1]
At ACL 2000, Brill and Moore (2000) introduced a new error model, allowing generic string-to-string edits.	[4, 11, 131, 37]	[1, 1, 1, 1]
Automated evaluation utilizes the standard DUC evaluation metric ROUGE (Lin, 2004) which represents recall over various n-grams statistics from a system generated summary against a set of human generated peer summaries.	[20]	[1]
Axelrod et al (2011) proposed a bilingual cross-entropy difference to select data from parallel corpus for domain adaptation which captures the contextual information slightly, and outperformed monolingual cross-entropy difference (Moore and Lewis, 2010), which first shows the advantage of bilingual data selection.	[94, 45]	[1, 1]
B3 here is the B3All version of Stoyanov et al (2009).	[78, 97]	[1, 1]
BLEU is smoothed to be more appropriate for sentence level evaluation (Lin and Och, 2004b), and the bi gram versions of BLEU and HWCM are reported because they have higher correlations than when longer n-grams are included.	[23, 167, 141]	[1, 1, 1]
Banea et al (2008) demonstrate that machine translation can perform quite well when extending the subjectivity analysis to multilingual environment, which makes it inspiring to replicate their work on lexicon-based sentiment analysis.	[0]	[1]
Bannard and Callison-Burch (2005) defined a paraphrasing probability between two phrases based on their translation probability through all possible pivot phrases as: Ppara (p1 ,p2)= sum piv Pt (piv|p1) Pt (p2|piv) where Pt denotes translation probabilies.	[102]	[1]
Baroni and Zamparelli (2010) show that their model significantly outperforms other vector composition methods, including addition, multiplication and Guevara's approach, in the task of approximating the correct vectors for previously unseen (but corpus-attested) ANs.	[28, 2, 43, 183]	[1, 1, 1, 1]
Barzilay and McKeown (2001) and Callison Burch et al (2006) extracted paraphrases from monolingual parallel corpus where multiple translations were present for the same source.	[2, 64, 0]	[1, 1, 1]
Barzilay and McKeown (2001) induced simple POS-based paraphrase rules from paraphrase instances, which can be a good starting point.	[101]	[1]
Baseline-1 follows the method pro posed in (Quirk et al, 2004), which generates paraphrases using typical SMT tools.	[1]	[1]
Beesley and Karttunen (2000) describe a technique, called compile-replace, for constructing FSTs, which involves reapplying the regular-expression compiler to its own output.	[3, 108, 202, 62]	[1, 1, 1, 1]
Bergsma and Lin (2006) built a statistical model from paths that include the lemma of the intermediate tokens, but replace the end nodes with noun, pronoun, or pronoun-self for nouns, pronouns, and reflexive pronouns, respectively.	[147, 79]	[1, 1]
Biemann (2006) described a graph-based clustering methods for word classes.	[1, 53]	[1, 1]
Blitzer et al (2007) used structural correspondence learning to train a classifier on source data with new features induced from target unlabeled data.	[183, 17]	[1, 1]
Blunsom et al (2009) present a nonparametric PSCFG translation model that directly induces a grammar from parallel sentences without the use of or constraints from a word-alignment model, and Cohn and Blunsom (2009) achieve the same for tree-to-string grammars, with encouraging results on small data.	[2, 22]	[1, 1]
Bohnet (2010) showed that the Hash Kernel improves parsing speed and accuracy since the parser uses additionally negative features.	[6, 96, 244]	[1, 1, 1]
Both Hearst (1994, 1997) and Foltz et al (1998) use vector space methods discussed below to represent and compare units of text.	[135]	[1]
Both Yamada and Knight (2001) and Chiang (2005) use SCFGs as the underlying model, so their translation schemata are syntax-directed as in Fig.	[0, 1]	[1, 1]
Briefly, Clark and Weir (2002) populate the WordNet hierarchy based on corpus frequencies (of all nouns for a verb/slot pair), and then determine the appropriate probability estimate at each node in the hierarchy by using chi square to determine whether to generalize an estimate to a parent node in the hierarchy.	[0, 208]	[1, 1]
But as the conditional distribution can be quite different for the original language and the pseudo language produced by the machine translators, these two strategies give poor performance as reported in (Wan, 2009).	[65, 20, 181, 77]	[1, 1, 1, 1]
By contrast, Schone and Jurafsky (2001) evaluate the identification of phrasal terms without grammatical filtering on a 6.7 million word extract from the TREC databases, applying both WordNet and on line dictionaries as gold standards.	[20]	[1]
By finding semantic differences between the selectional preferences, it can articulate the higher-order structure of conceptual metaphors ((Mason, 2004), p. 24), finding mappings like LIQUID -> MONEY.	[32, 29, 91, 103]	[1, 1, 1, 1]
C99 KA to denote the C99 algorithm (Choi, 2000) when the aver age number of boundaries in the reference data was provided to the algorithm.	[80]	[1]
CL-Web: A state-of-the-art open domain method based on features extracted from the Web documents data set (Pantel et al, 2009).	[30]	[1]
Callison-Burch et al (2006) exploited the existence of multiple parallel corpora to learn paraphrases for Phrase-based MT.	[59, 37, 73]	[1, 1, 1]
Callison-Burch et al (2006) point out three prominent factors.	[73, 59]	[1, 1]
Callison-Burch et al (2012) report for several automatic metrics on the whole WMT12 English-to-Czech dataset, the best of which correlates at?= 0.18.	[6]	[1]
Canadian Hansards that has been used in a number of other studies: Church (1993) and Simard et al (1992).	[1, 62, 64, 63]	[1, 1, 1, 1]
Candidates considered in the semantic tagging process are noun phrases NP, proposition phrases PP, verb phrases VP, adjectives ADJ and adverbs ADV. To gather these candidates we used the Brill transformational tagger (Brill, 1992) for the part-of speech step and the CASS partial parser for the parsing step (Abney, 1994).	[0]	[1]
Cao and Li (2002) propose a new method to translate base noun phrases.	[13, 2]	[1, 1]
Caraballo (1999) let three judges evaluate ten internal nodes in the hyponymy hierarchy that had at least twenty descendants.	[71]	[1]
Carpuat and Wu (2007) approached the issue as a Word Sense Disambiguation problem.	[0]	[1]
Chambers and Jurafsky (2009) describe a process to induce a partially ordered set of events related by a common protagonist by using an unsupervised distributional method to learn relations between events sharing co referring arguments, followed by temporal classification to induce partial order.	[20]	[1]
Chelba and Acero (2004) use the parameters of the maximum entropy model learned from the source domain as the means of a Gaussian prior when training a new model on the target data.	[56]	[1]
Chelba and Jelinek (1998) proposed that syntactic structure could be used as an alternative technique in language modeling.	[0]	[1]
Chiang (2010) extended SAMT-style labels to both source and target-side parses, also introducing a mechanism by which SCFG rules may apply at runtime even if their labels do not match.	[44]	[1]
Clark et al (2002) handle the additional derivations by modelling the derived structure, in their case dependency structures.	[19]	[1]
Clustering by committee has also been used to discover concepts from a text by grouping terms into conceptually related clusters (Lin and Pantel, 2002).	[3, 0]	[1, 1]
Co-training has been applied to a number of NLP applications, including POS-tagging (Clark et al, 2003), parsing (Sarkar, 2001), word sense disambiguation (Mihalcea, 2004), and base noun phrase detection (Pierce and Cardie, 2001).	[7, 145]	[1, 1]
Collins (1996) proposed a statistical parser which is based on probabilities of dependencies between head-words in the parse tree.	[1, 0, 158, 2]	[1, 1, 1, 1]
Combining multiple translation models has been investigated for domain adaptation by Foster and Kuhn (2007) and Koehn and Schroeder (2007) before.	[134]	[1]
Committee-based approaches to POS tagging have been in focus the last decade: Brill and Wu (1998) combined four different taggers for English using unweighted voting and by exploring contextual cues (essentially a variant of stacking).	[74, 37]	[1, 1]
Compare the systematic study for English-French alignments by (Fox, 2002), who compared (i) tree-bank parser style analyses, (ii) a variant with flattened VPs, and (iii) dependency structures.	[145, 129]	[1, 1]
Compared to the over feature size of 200000 in Li and Roth (2002), our feature space is much more compact, yet turned out to be more informative as suggested by the experiments.	[105]	[1]
Compared to the representation Riedel and Clarke (2006), this bound has the benefit a small polynomial number of constraints.	[177, 200, 97]	[1, 1, 1]
Compared to the state of the art in dependency parsing, the unlabeled attachment scores obtained for Swedish with model? 5, for both MBL and SVM, are about 1 percentage point higher than the results reported for MBL by Nivre et al (2004).	[158, 137]	[1, 1]
Compared with the disappointing results of joint learning on syntactic and semantic parsing, Miller et al (2000) and Finkel and Manning (2009) showed the effectiveness of joint learning on syntactic parsing and some simple NLP tasks, such as information extraction and name entity recognition.	[167, 0]	[1, 1]
Compared with the previous work on katakana to-English transliteration, these accuracies do not look particularly high: both Knight and Graehl (1998) and Bilac and Tanaka (2004) report accuracies above 60% for 1-best transliteration.	[17, 116]	[1, 1]
Comparing the latter half of the experimental results with those on parsing (Miyao and Tsujii, 2005), we investigated similarities and differences between probabilistic models for parsing and generation.	[0]	[1]
Coordination ambiguity is under-explored, despite being one of the three major sources of structural ambiguity (together with prepositional phrase attachment and noun compound bracketing), and belonging to the class of ambiguities for which the number of analyses is the number of binary trees over the corresponding nodes (Church and Patil, 1982), and despite the fact that conjunctions are among the most frequent words.	[125, 72, 67]	[1, 1, 1]
Corpus creation using AMT has numerous precedents now; see i.e. Callison-Burch and Dredze (2010) and Heilman and Smith (2010b).	[163]	[1]
Currently ,word_align depends on char align (Church, 1993) to generate a starting point, which limits its applicability to European languages since char_align was designed for language pairs that share a common alphabet.	[81]	[1]
D-Tree Grammar (DTG) is proposed in (Rambow et al, 1995) to remedy some empirical and theoretical shortcomings of TAG; Tree Description Grammar (TDG) is introduce din (Kallmeyer, 1999) to support syntactic and semantic underspecification and Interaction Grammar is presented in (Perrier, 2000) as an alternative way of formulating linear logic grammars.	[75, 3, 0]	[1, 1, 1]
DeNero and Klein (2007) refine the distortion model of an HMM aligner to reflect tree distance instead of string distance.	[61, 111]	[1, 1]
DeSR (Attardi, 2006) is an incremental deterministic classifier-based parser.	[18]	[1]
Despite some recent advances in this direction (Bos et al, 2004), it is still the case that it is hard to obtain deep semantic analyses which are accurate enough to support logical inference (Lev et al, 2004).	[14, 18]	[1, 1]
Despite their simplicity, unigram weights have been shown as an effective feature in segmentation models (Dyer, 2009).	[79, 69]	[1, 1]
Ding and Palmer (2005) propose a syntax-based translation model based on a probabilistic synchronous dependency insert grammar, a version of synchronous grammars defined on dependency trees.	[3, 46, 2, 0, 159]	[1, 1, 1, 1, 1]
Distances have been used in e.g. Luo et al (2004).	[146]	[1]
Due to space constraints, details and proof of correctness are available in Lopez (2007a).	[164]	[1]
EM-based clustering, originally introduced for the induction of a semantically annotated lexicon (Rooth et al, 1999), regards classes as hidden variables in the context of maximum likelihood estimation from incomplete data via the expectation maximisation algorithm.	[17, 0, 1, 15]	[1, 1, 1, 1]
Each fact in the citation summary of a paper is a summarization content unit (SCU) (Nenkova and Passonneau, 2004), and the fact distribution matrix, created by annotation, provides the information about the importance of each fact in the citation summary.	[131, 94]	[1, 1]
Early unsupervised approaches to the SRL task include (Swier and Stevenson, 2004), where theVerbNet verb lexicon was used to guide unsupervised learning, and a generative model of Grenager and Manning (2006) which exploits linguistic priors on syntactic-semantic interface.	[34, 0]	[1, 1]
Echihabi and Marcu (2003) have developed a noisy-channel model for QA, which explains how a sentence containing an answer to a given question can be rewritten into that question through a sequence of stochastic operations.	[22, 29]	[1, 1]
Eisenstein and Barzilay (2008) use the same dataset to evaluate linear topic segmentation, though they evaluated only at the level of sections, given gold standard chapter boundaries.	[158, 164, 129]	[1, 1, 1]
Eisenstein et al (Eisenstein et al, 2010) show promising results in identifying an author's geographic location from micro-blogs, but the locations are coarse-grained and rely on a substantial message history per-source.	[175]	[1]
Eisner (1996, section 5) also provides a safe and complete parsing algorithm which can return non-NF derivations when necessary to preseve an interpretation if composition is bounded or the grammar is restricted in other (arbitrary) ways.	[77, 151]	[1, 1]
Eisner (2002) gives a general EM algorithm for parameter estimation in probabilistic finite-state transducers.	[0, 218]	[1, 1]
English to French Lexical-Structural Transfer Rule with Verb Modifier ALMOST More details on how the structural divergences described in (Dorr, 1994) can be accounted for using our formalism can be found in (Nasr et al., 1998).	[96]	[1]
Equivalents in Bilingual Corpus When accurate instances are obtained from bilingual corpus, we continue to integrate the statistical word-alignment techniques (Melamed, 1997) and dictionaries to find the translation candidates for each of the two collocates.	[99]	[1]
Evaluation campaigns like WMT (Callison-Burch et al, 2009) and IWSLT (Paul, 2009) also contains a wealth of information for feature engineering in various MT tasks.	[5, 147]	[1, 1]
Even though we could not compare our experiment with the probabilistic approach (Lapata, 2003) directly due to the difference of the text corpora, the Kendall coefficient reported higher agreement than Lapata's experiment (Kendall=0.48 with lemmatized nouns and Kendall=0.56 with verb-noun dependencies).	[0]	[1]
Examining the relations between the words in each pair, Agirre et al (2009) further split this dataset into similar pairs (WS-sim) and related pairs (WS-rel), where the former contains synonyms, antonyms, identical words and hyponyms/hypernyms and the latter capture other word relations.	[135, 133, 124, 136]	[1, 1, 1, 1]
Examples include an early statistical method for learning to fill slot-value representations (Miller et al, 1996) and a more recent approach for recovering semantic parse trees (Ge & Mooney, 2006).	[6]	[1]
Except for the addition of a tag parameter p to the SHIFT transition, this is equivalent to the system described in Nivre (2009), which thanks to the SWAP transition can handle arbitrary non-projective trees.	[120, 114, 115]	[1, 1, 1]
Exceptions where discriminative SMT has been used on large training data are Liang et al. (2006a) who trained 1.5 million features on 67,000 sentences, Blunsom et al. (2008) who trained 7.8 million rules on 100,000 sentences, or Tillmann and Zhang (2006) who used 230,000 sentences for training.	[176]	[1]
Existing methods for topic segmentation typically assume that fragments of text (e.g. sentences or sequences of words of a fixed length) with similar lexical distribution are about the same topic; the goal of these methods is to find the boundaries where the lexical distribution changes (e.g. Choi (2000), Malioutov and Barzilay (2006)).	[12, 66, 5]	[1, 1, 1]
Experiments are performed using all train/test pairs among three conversational speech corpora: the Meeting Recorder Dialog Actcorpus (MRDA) (Shriberg et al, 2004), Switch board DAMSL (Swbd) (Jurafsky et al, 1997), and the Spanish Callhome dialog act corpus (SpCH) (Levin et al, 1998).	[0]	[1]
Fabulas can be viewed as distributions over characters, events and other entities; this conceptualization of what constitutes a narrative is broader than Chambers and Jurafsky (2008).	[227]	[1]
Feature function scaling factors m are optimized based on a maximum likelihood approach (Och and Ney, 2002) or on a direct error minimization approach (Och, 2003).	[89]	[1]
Features like the string ident and substring match features were used by other researchers (Soon et al, 2001), while the features ante med and ana med were used by Strube et al (2002) in order to improve the performance for definite NPs.	[313, 314]	[1, 1]
Filatova and Hovy (2001) infer time values based on the most recently assigned date or the date of the article.	[68, 102, 71, 97, 94, 100, 95, 108, 73, 54]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Finally, following (Klein and Manning, 2004) we strip out punctuation from the sentences.	[23]	[1]
Finally, results are presented from the SemEval-2007 coarse grained all-words task (Navigli et al, 2007), and we explore the influence of various types of selectors on the algorithm in order to draw insight for future improvement of Web-based methods.	[1, 0]	[1, 1]
Finally, we use as a feature the mappings produced in (Navigli, 2006) of WordNet senses to Oxford English Dictionary senses.	[21, 144, 17, 133]	[1, 1, 1, 1]
Finkel et al (2005) proposed a method incorporating non-local structure for information extraction.	[0]	[1]
Finkel et al (2005) used simulated annealing with Gibbs sampling to find a solution in a similar situation.	[39, 121]	[1, 1]
First, a non-anaphoric NP classifier identifies definite noun phrases that are existential, using both syntactic rules and our learned existential NP recognizer (Bean and Riloff, 1999), and removes them from the resolution process.	[15]	[1]
First, we adopt an ONTOLOGICALLY PROMISCUOUS representation (Hobbs, 1985) that includes a wide variety of types of entities.	[268]	[1]
First, we can let the number of nonterminals grow unboundedly, as in the Infinite PCFG, where the nonterminals of the grammar can be indefinitely refined versions of a base PCFG (Liang et al, 2007).	[21]	[1]
First, we investigate the impact of using different flavours of Covington's algorithm (Covington, 2001) for non projective dependency parsing on the ten different languages provided for CoNLL-X Shared Task (Nivre et al, 2007).	[0]	[1]
Following (Blaheta and Charniak, 2000), incorrectly parsed constituents will be ignored (roughly 11% of the total) in the evaluation of the precision and recall of the function labels, but not in the evaluation of the parser.	[66, 68]	[1, 1]
Following Barzilay and Lee (2003), we approach the sentence clustering task by hierarchical complete-link clustering with a similarity metric based on word n-gram overlap (n= 1, 2, 3).	[68]	[1]
Following Galley et al (2006)' s work, Marcu et al (2006) proposed SPMT models to improve the coverage of phrasal rules, and demonstrated that the system performance could be further improved by using their proposed models.	[133, 127, 42]	[1, 1, 1]
Following Guevara (2010), we estimate the coefficients of the equation using (multivariate) partial least squares regression (PLSR) as implemented inthe Rpls package (Mevik and Wehrens, 2007), setting the latent dimension parameter of PLSR to 300.	[42, 38]	[1, 1]
Following Hale (2001) and Levy (2008), among others, the syntactic processor uses an incremental probabilistic Earley parser to compute a metric which correlates with increased reading difficulty.	[0]	[1]
