query	doc_id	label	similiarity
Bengoetxea and Gojenola (2010) discuss non-projective dependencies in Basque and show that the pseudo-projective transformation of (Nivre and Nilsson, 2005) improves accuracy for dependency parsing of Basque	[0]	[1]	[1.561509132385254]
Besides the two model scores, we also adopt constituent count as an additional feature in spired by (Henderson and Brill 1999) and (Sagae and Lavie 2006)	[102]	[1]	[0.5973740220069885]
But equally important is the fact that this new DOP* model does not suffer from a decrease in parse accuracy if larger subtrees are included, whereas the original DOP model needs to be redressed by a correction factor to maintain this property (Bod 2003)	[86, 82, 0, 106, 139]	[1, 1, 1, 1, 1]	[1.6685644388198853, 1.5963088274002075, 1.475514531135559, 0.8197247982025146, 1.1016359329223633]
CFTG are weakly equivalent to the simple macro grammars of Fischer (1968), which are a notational variant of the well-nested linear context-free rewriting systems (LCFRS) of Vijay-Shanker et al (1987) and the well-nested multiple context-free grammars (MCFG) of Seki et al (1991)	[92, 134]	[1, 1]	[0.8677432537078857, 0.72857266664505]
Callison-Burch et al (2006) and Koehn and Monz (2006), for example, study situations where BLEU strongly disagrees with human judgment of translation quality	[39, 140]	[1, 1]	[1.918683648109436, 1.5700806379318237]
Clarke et al (2010) and Liang et al (2011) describe approaches for learning semantic parsers from questions paired with database answers, while Goldwasser et al (2011) presents work on unsupervised learning	[0]	[1]	[0.8547712564468384]
Clarke et al (2010) and Liang et al (2011) replace semantic annotations in the training set with target answers which are more easily available	[132]	[1]	[0.37468767166137695]
Clarke et al (2010) and Liang et al (2011) trained systems on question and answer pairs by automatically finding semantic interpretations of the questions that would generate the correct answers	[132]	[1]	[1.1427011489868164]
Co-Training has been used before in applications like word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named entity identification (Collins and Singer, 1999)	[0]	[1]	[1.625375509262085]
Collins and Singer (1999) for example report that 88% of the named entities occurring in their data set belong to these three categories (Collins and Singer, 1999)	[0]	[1]	[1.2450809478759766]
Collins et al (Collins and Singer, 1999) proposed two algorithms for NER by modifying Yarowsky's method (Yarowsky, 1995) and the framework suggested by (Blum and Mitchell, 1998)	[6, 5, 8, 27]	[1, 1, 1, 1]	[1.6365042924880981, 0.3015885055065155, 0.36812013387680054, 0.7135828733444214]
DCS trees has been proposed to represent natural language semantics with a structure similar to dependency trees (Liang et al, 2011) (Figure 1)	[94]	[1]	[0.7952313423156738]
DD-ADMM may be useful in other frameworks involving logical constraints, such as the models for compositional semantics presented by Liang et al (2011)	[0]	[1]	[1.2584283351898193]
Das and Petrov (2011) achieved the current state-of-the-art for unsupervised tagging by exploiting high confidence alignments to copy tags from the source language to the target language	[5]	[1]	[0.551179826259613]
Dependency-based Compositional Semantics (DCS) provides an intuitive way to model semantics of questions, by using simple dependency-like trees (Liang et al, 2011)	[0]	[1]	[1.7933902740478516]
Domain knowledge also has the potential to improve open-text applications such as summarization (Ceylan et al 2010) and machine translation (Foster et al., 2010)	[0, 141]	[1, 1]	[0.8985667824745178, 0.8139312863349915]
Each of these scores can be calculated from a provided syntactic parse tree, and to generate these we made use of the Charniak parser (Charniak, 2000), also trained on the Switch board tree bank	[91]	[1]	[0.5168064832687378]
Entries marked with are the highest reported in the literature, to the best of our knowledge, beating (sometimes slightly) McDonald et al (2006), Martins et al (2008), Martins et al (2009), and, in the case of English Proj., also the third-order parser of Koo and Collins (2010), which achieves 93.04% on that dataset (their experiments in Czech are not comparable, since the datasets are different)	[104]	[1]	[1.2021608352661133]
Evaluation results recently reported by Callison-Burch et al (2006) and Koehn and Monz (2006), revealed that, in certain cases, the BLEU metric may not be a reliable MTquality indicator	[39, 140]	[1, 1]	[1.9264802932739258, 1.6366980075836182]
Even though McDonald et al (2006) and Nivre et al (2006) obtained very similar overall scores, a more detailed look at their performance shows clear differences	[61, 58, 104]	[1, 1, 1]	[1.145969033241272, 1.034170150756836, 1.6301342248916626]
Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics	[47]	[1]	[1.4038362503051758]
Following Jiang et al (2008), we describe segmentation and Joint S& amp; T as below: For a given Chinese sentence appearing as a character sequence: C 1: n= C 1 C 2.	[37, 22, 9]	[1, 1, 1]	[0.9696699380874634, 1.0563313961029053, 1.1270493268966675]
Following this line, (Vijay-Shanker et al, 1987) have introduced a formalism called linear context-free rewriting systems (LCFRSs) that has received much attention in later years by the community	[207, 92]	[1, 1]	[1.0782833099365234, 1.3113880157470703]
For English language modeling, we use English Giga word Corpus with 5-gram LM using the KenLM toolkit (Heafield, 2011)	[0]	[1]	[1.0043069124221802]
For computing distance we used the L1-norm of the difference, which worked a bit better than the Jensen Shannon divergence between the topic vectors used in (Mimno et al, 2009)	[156, 118]	[1, 1]	[1.7819297313690186, 0.7302609086036682]
For each article, we calculated the percentage of a) all word instances (tokens) and b) all unique words (types) not on these lists, resulting in three token OOV rate features and three type OOV rate features per article. The parse features are generated using the Charniak parser (Charniak, 2000) trained on the standard Wall Street Journal Treebank corpus	[1, 5]	[1, 1]	[1.0116554498672485, 0.41193801164627075]
For handling non-projective relations, Nivre and Nilsson (2005) suggested applying a preprocessing step to a dependency parser, which consists in lifting non-projective arcs to their head repeatedly, until the tree becomes pseudo-projective	[0]	[1]	[1.4021241664886475]
For instance, Callison-Burch et al (2006) and Koehn and Monz (2006) reported and analyzed several cases of strong disagreement between system rankings provided by human assessors and those produced by the BLEU metric (Papineni et al, 2001)	[39, 140]	[1, 1]	[1.9041301012039185, 1.2470916509628296]
For language modeling, we computed 5-gram models using IRSTLM7 (Federico et al., 2008) and queried the model with KenLM (Heafield, 2011)	[0, 103]	[1, 1]	[1.4648783206939697, 1.7861251831054688]
For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference	[16, 9]	[1, 1]	[0.3304547965526581, 1.5668498277664185]
For the bi text-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and German-English (De) (Koehn and Monz, 2006)	[6, 9]	[1, 1]	[0.32425656914711, 1.4652589559555054]
For the language model, we used the KenLM toolkit (Heafield, 2011) to create a 5-gram language model on the target side of the Europarl corpus (v7) with approximately 54M tokens with KneserNey smoothing	[199, 0]	[1, 1]	[1.5224934816360474, 1.088836431503296]
For the same reason, human evaluation metrics based on adequacy and fluency were not suitable either (Koehn and Monz, 2006)	[63, 175]	[1, 1]	[1.5771924257278442, 1.592606782913208]
For tree banks with non-projective trees we use the pseudo-projective parsing technique to transform the tree bank into projective structures (Nivre and Nilsson, 2005)	[0]	[1]	[1.5693316459655762]
Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach	[24, 1, 7]	[1, 1, 1]	[0.8426246047019958, 0.5499640107154846, 0.9480491876602173]
Foster et al (2010) do not mention what percentage of the corpus they select for their IR-baseline, but they concatenate the data to their in-domain corpus and report a decrease in performance	[42]	[1]	[1.1352087259292603]
Foster et al (2010) further perform this on extracted phrase pairs, not just sentences	[68, 152, 65]	[1, 1, 1]	[0.8489875793457031, 0.30551427602767944, 0.559219479560852]
Foster et al (2010) propose a similar method for machine translation that uses features to capture degrees of generality	[22, 0]	[1, 1]	[0.5330421924591064, 0.44098392128944397]
Foster et al (2010), however, uses a different approach to select related sentences from OUT	[31]	[1]	[1.4084534645080566]
Furthermore, the extraction of grammars for training is done in a leave-one-out fashion (Zollmann and Simaan,2005) where rules are extracted for a parallel sentence pair only if the same rules are found in other sentences of the corpus as well.3-gram (news-commentary) and 5-gram (Europarl) language models are trained on the data described in Table 1, using the SRILM toolkit (Stolcke, 2002) and binarized for efficient querying using kenlm (Heafield, 2011)	[199]	[1]	[0.5260961055755615]
Furthermore, we evaluate with both gold-standard part-of-speech tags, as well as predicted part-of speech tags from the projected part-of-speech tagger of Das and Petrov (2011). This tagger relies only on labeled training data for English, and achieves accuracies around 85% on the languages that we consider	[18, 0]	[1, 1]	[1.0124390125274658, 0.6806341409683228]
Given a novel sentence Stest E Ctest, combine the collection of hypotheses ti = fi(Stest) using the unweighted constituent voting scheme of Henderson and Brill (1999)	[23]	[1]	[0.406853049993515]
Goldberg and Tsarfaty (2008) concluded that an integrated model of morphological disambiguation and syntactic parsing in Hebrew Treebank parsing improves the results of a pipelined approach	[0, 165]	[1, 1]	[1.3223844766616821, 0.3268469572067261]
Goldberg and Tsarfaty (2008) demonstrated the effectiveness of lattice parsing for jointly performing segmentation and parsing of Hebrew text	[0]	[1]	[0.9183307886123657]
Goldberg and Tsarfaty (2008) propose a generative joint model	[0, 3]	[1, 1]	[1.3767367601394653, 0.32013681530952454]
Goldberg and Tsarfaty (2008) showed that a single model for morphological segmentation and syntactic parsing of Hebrew yielded an error reduction of 12% over the best pipelined models	[4, 0, 3]	[1, 1, 1]	[1.5405737161636353, 1.9512906074523926, 0.5556914210319519]
Goldberg and Tsarfaty (2008) use a data-driven morphological analyzer derived from the tree bank	[134, 136, 133]	[1, 1, 1]	[1.6211626529693604, 0.33283114433288574, 1.0140409469604492]
Goodman's transform, in combination with a range of heuristics, allowed Bod (2003) to run the DOP model on the Penn Treebank WSJ benchmark and obtain some of the best results obtained with a generative model	[145, 135, 134]	[1, 1, 1]	[0.5146891474723816, 1.1316255331039429, 0.32708391547203064]
Henderson and Brill (1999) also reported that context did not help them to outperform simple voting	[84]	[1]	[1.1702377796173096]
Henderson and Brill (1999) combine three parsers and obtained an F1 score of 90.6, which is better than the score of 88.6 obtained by the best individual parser as reported in their paper	[120, 112]	[1, 1]	[1.134705662727356, 0.40866634249687195]
Henderson and Brill (1999) performs parse selection by maximizing the expected precision of selected parse with respect to the set of parses to be combined	[78]	[1]	[0.36287370324134827]
Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy	[1]	[1]	[1.1060914993286133]
However, just as it has been noted that most non-projective structures appearing in practice are only 'slightly' non projective (Nivre and Nilsson, 2005), we characterise a sense in which the structures appearing in tree banks can be viewed as being only 'slightly' ill-nested	[6]	[1]	[0.31686660647392273]
In (Collins and Singer, 1999) Collins and Singer show that unlabeled data can be used to reduce the level of supervision required for named entity classification	[18, 250, 0]	[1, 1, 1]	[1.487041711807251, 1.2546286582946777, 1.8234357833862305]
In addition to the basic approach of concatenation of in-domain and out-of-domain data, we also trained a log-linear mixture model (Foster and Kuhn, 2007) as well as the linear mixture model of (Foster et al, 2010) for conditional phrase-pair probabilities over IN and OUT	[28, 42]	[1, 1]	[0.8202441930770874, 0.42548859119415283]
In addition, discriminative weighting methods were proposed to assign appropriate weights to the sentences from training corpus (Matsoukas et al, 2009) or the phrase pairs of phrase table (Foster et al, 2010)	[26, 152]	[1, 1]	[1.2514041662216187, 0.4604433476924896]
In addition, we can also infer a positive contribution of the frequency of a sense with the choice of the first synset returned by Word net resulting in a reasonable WSD heuristic (which is compatible with the results by McCarthy et al (2004))	[188]	[1]	[1.5526490211486816]
In addition, we implemented the unsupervised method of (McCarthy et al, 2004), which calculates a prevalence score for each sense of a word to predict the predominant sense	[48, 81]	[1, 1]	[1.1519521474838257, 1.2202099561691284]
In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997). Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node	[47]	[1]	[0.5386717915534973]
In doing so, we provide first results on the application to French parsing of WordNet automatic sense ranking (ASR), using the method of McCarthy et al (2004)	[175]	[1]	[1.2744187116622925]
In fact, for any CFG G, it 1See Liang et al (2011) for work in representing lambda calculus expressions with trees	[20]	[1]	[0.9215137362480164]
In fact, our approach can also be applied to other parsers, such as (Yamada and Matsumoto, 2003)'s parser, (McDonald et al., 2006)'s parser, and so on	[45]	[1]	[0.7101203203201294]
In order to avoid losing the benefits of higher-order parsing, we considered applying pseudo-projective transformation (Nivre and Nilsson, 2005)	[1, 0, 104]	[1, 1, 1]	[0.7640827894210815, 1.848101258277893, 0.567825436592102]
In particular, Clarke et al (2010) and Liang et al (2011) proposed methods to learn from question answer pairs alone, which represents a significant advance	[132]	[1]	[1.2688761949539185]
In particular, we cast new light on the relationship between CCG and other mildly context-sensitive formalisms such as Tree-Adjoining Grammar (TAG; Joshi and Schabes (1997)) and Linear Context-Free Rewrite Systems (LCFRS; Vijay-Shanker et al (1987))	[214, 207]	[1, 1]	[0.7580056190490723, 0.48156118392944336]
In previously reported work, (Mimno et al, 2009) evaluate parallel document retrieval using PLTM on Europarl speeches in English and Spanish, using training and test sets of size similar to ours	[129]	[1]	[1.5184669494628906]
In the Opinum system we query the M p, M n models with the KenLM (Heafield, 2011) open-source library because it answers the queries very quickly and has a short loading time, which is suitable for a web application	[103, 0]	[1, 1]	[0.6932668685913086, 1.0253723859786987]
In the current paper we explore alternatives to reranking approaches, namely heuristic methods for finding the argmax, specifically incremental beam-search strategies related to the parsers of Roark (2001a) and Ratnaparkhi (1999)	[223]	[1]	[0.5500525832176208]
In the first, we assumed that the test set for each target language had gold part-of-speech tags, and in the second we used predicted part-of-speech tags from the projection tagger of Das and Petrov (2011), which also uses English as the source language	[18, 0, 153]	[1, 1, 1]	[1.0041475296020508, 0.5619148015975952, 0.7408414483070374]
In this section, we review relevant details of the Roark (2001) incremental top-down parser, as configured for use here	[41, 402]	[1, 1]	[0.8787611126899719, 1.2051684856414795]
Incremental top-down and left-corner parsing (Roark, 2001a; Roark, 2001b) and head-driven parsing (Charniak, 2001) approaches have directly used generative PCFG models as language models	[402, 0, 102, 400]	[1, 1, 1, 1]	[0.6212806105613708, 1.4856178760528564, 0.8112967014312744, 0.955514669418335]
Inference was carried out using the language modeling library described by Heafield (2011)	[68]	[1]	[0.317658394575119]
Inspired by (Jiang et al, 2008), we set the real d Although Table 5 has shown that the proposed all the value of C0 to be 2.0, the value of C-1C0anC0C1 to be 3.0, and the values of all other features to be 1.0 for the character-based discriminative-plus model	[36]	[1]	[0.5534654855728149]
Instead, we use the evaluation measure of (Tsarfaty, 2006), also used in (Goldberg and Tsarfaty, 2008), which is an adaptation of parseval to use characters instead of space-delimited tokens as its basic units	[73]	[1]	[0.9938004612922668]
Introduce through post-processing ,e.g. through reattachment rules (Bick, 2006) or if the change increases overall parse tree probability (McDonald et al, 2006)	[11]	[1]	[0.9878035187721252]
It should be noted that the proportion of lost dependencies is about twice as high as the proportion of dependencies that are non-projective in themselves (Nivre and Nilsson, 2005)	[14, 92]	[1, 1]	[1.548702359199524, 0.40655893087387085]
Jiang et al (2008) proposes a cascaded linear model for joint Chinese word segmentation and POS tagging	[1, 0, 130]	[1, 1, 1]	[1.682769775390625, 1.8902404308319092, 1.0734304189682007]
LCFRS (Vijay-Shanker et al, 1987) are a natural extension of CFG in which a single nonterminal node can dominate more than one continuous span of terminals	[74]	[1]	[1.067507028579712]
Levy, on the other hand, argued that studies of probabilistic parsing reveal that typically a small number of analyses are assigned the majority of probability mass (Roark, 2001)	[267]	[1]	[1.1177905797958374]
Linear Context-Free Rewriting Systems Gap-restricted dependency languages are closely related to Linear Context-Free Rewriting Systems (lcfrs) (Vijay-Shanker et al, 1987), a class of formal systems that generalizes several mildly context-sensitive grammar formalisms	[92, 2, 207, 134]	[1, 1, 1, 1]	[1.83477783203125, 0.5240500569343567, 1.1648168563842773, 0.5754042267799377]
MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007))	[0, 18]	[1, 1]	[1.8008300065994263, 1.5424187183380127]
Matsoukas et al (2009) propose an approach where each sentence is weighted according to a classifier, and Foster et al (2010) extend this approach by weighting individual phrase pairs	[26, 65, 152, 67]	[1, 1, 1, 1]	[1.0109453201293945, 1.1901397705078125, 1.310173749923706, 1.8828399181365967]
Matuszek et al [2010], Liang et al [2011] and Chen and Mooney [2011] describe models that learn compositional semantics, but word meanings are symbolic structures rather than patterns of features in the external world	[0, 165]	[1, 1]	[1.4420455694198608, 1.1427003145217896]
McCarthy et al (2004) reported that the best results were obtained using k= 50 neighbors and the Wordnet Similarity jcn measure (Jiang and Conrath, 1997)	[79, 63, 179]	[1, 1, 1]	[1.4309850931167603, 0.940930962562561, 0.7249147891998291]
McCarthy et al (2004) use a corpus and word similarities to induce a ranking of word senses from an untagged corpus to be used in WSD	[165, 0]	[1, 1]	[0.8132369518280029, 1.1963895559310913]
McDonald et al (2006) use an additional algorithm	[11, 13]	[1, 1]	[0.8848819136619568, 1.3130855560302734]
McDonald et al (2006) use post-processing for non-projective dependencies and for labeling	[11]	[1]	[0.8885225653648376]
Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels	[6, 104]	[1, 1]	[0.7568068504333496, 0.43768107891082764]
Miller et al (2000) address the task of relation extraction from the statistical parsing viewpoint	[0]	[1]	[1.0118906497955322]
Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees	[34]	[1]	[1.6158312559127808]
Mimno et al (2009) extend the original concept of LDA to support polylingual topic models (PLTM), both on parallel (such as EuroParl) and partly comparable documents (such as Wikipedia articles)	[35, 29]	[1, 1]	[1.2809656858444214, 0.43294084072113037]
Mimno et al (2009) showed that so long as the proportion of topically-aligned to non-aligned documents exceeded 0.25, the topic distributions (as measured by mean Jensen-Shannon Divergence between distributions) did not degrade significantly	[118, 122]	[1, 1]	[1.0212935209274292, 1.2483513355255127]
Mitchell and Lapata (2008) introduce a whole family of models of compositionality based on vector addition and point wise-multiplication (and a weighted combination of both), evaluated on a sentence similarity task inspired by Kintsch (2001)	[190, 88, 168]	[1, 1, 1]	[0.6864339113235474, 1.8602360486984253, 0.6768292188644409]
Mitchell and Lapata (2008) observed that a simple multiplication function modelled compositionality better than addition	[190]	[1]	[0.6383415460586548]
Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition	[57]	[1]	[1.1486626863479614]
Mitchell and Lapata (2008) propose a framework to represent the meaning of the combination p+ a as a function f operating on four components: c= f (p, a, R, K) (3) R is the relation holding between p and a, and K additional knowledge	[1]	[1]	[0.7874448895454407]
Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor)	[57, 189]	[1, 1]	[0.37723469734191895, 1.2292803525924683]
Models that in addition incorporate morphological analysis and segmentation have been explored by Tsarfaty (2006), Cohen and Smith (2007), and Goldberg and Tsarfaty (2008) with special reference to Hebrew parsing	[49, 0, 141, 190]	[1, 1, 1, 1]	[0.90928715467453, 0.904490053653717, 1.1039516925811768, 0.45885592699050903]
More recently, Liang et al (2011) proposed DCS for dependency-based compositional semantics, which represents a semantic parse as a tree with nodes representing database elements and operations, and edges representing relational joins	[0]	[1]	[1.06062650680542]
Most of the approaches for relation extraction rely on the mapping of syntactic dependencies, such as SVO, onto semantic relations, using either pattern matching or other strategies, such as probabilistic parsing for trees augmented with annotations for entities and relations (Miller et al 2000), or clustering of semantically similar syntactic dependencies, according to their selectional restrictions (Gamallo et al, 2002)	[34, 38]	[1, 1]	[1.0152853727340698, 0.48286932706832886]
Multilingual LDA has been used before in natural language processing, e.g. polylingual topic models (Mimno et al, 2009) or multilingual topic models for unaligned text (Boyd-Graber and Blei, 2009)	[29, 0, 35, 6]	[1, 1, 1, 1]	[0.5171018838882446, 1.55327570438385, 0.8264396786689758, 0.7237640619277954]
Nivre and Nilsson (2005) showed how the restriction to projective dependency graphs could be lifted by using graph transformation techniques to preprocess training data and post-process parser output, so-called pseudo-projective parsing	[2, 20, 109]	[1, 1, 1]	[0.5748709440231323, 1.0146381855010986, 1.332706332206726]
Of course, it is well-known that a supervised parser's f-score decreases if it is transferred to another domain: for example, the (non-binarized) WSJ-trained DOP model in Bod (2003) decreases from around 91% to 85.5% f score if tested on the Brown corpus	[139]	[1]	[0.5447916984558105]
On this line of investigation, mildly context-sensitive grammar formalisms have been introduced (Joshi,1985), including, among several others, the tree ad joining grammars (TAGs) of Joshi et al (1975). Linear context-free rewriting system (LCFRS), introduced by Vijay-Shanker et al (1987), is a mildly context-sensitive formalism that allows the derivation of tuples of strings, i.e., discontinuous phrases	[27, 74]	[1, 1]	[0.679108738899231, 0.7397297620773315]
One line of work eliminates the need for an annotated logical form, instead using only the correct answer for a database query (Lianget al 2011) or even a binary correct/incorrect signal (Clarke et al2010)	[9, 117]	[1, 1]	[1.1012600660324097, 1.120152473449707]
Other linguistically inspired language models like Chelba and Jelinek (2000) and Roark (2001) have been applied to continuous speech recognition	[15, 399, 14, 88, 17, 40, 247]	[1, 1, 1, 1, 1, 1, 1]	[1.2275018692016602, 0.4643132984638214, 0.8930825591087341, 0.4664173424243927, 0.5019654631614685, 0.38487425446510315, 1.2343820333480835]
Our Wikipedia-based topic similarity feature, w (f, e), is similar in spirit to polylingual topic models (Mimno et al 2009), but it is scalable to full bilingual lexicon induction	[29, 32, 0, 129]	[1, 1, 1, 1]	[1.530685305595398, 0.9709373712539673, 1.4295644760131836, 0.6183925271034241]
Our baseline joint PLSA model (JPLSA) is closely related to the poly-lingual LDA model of (Mimno et al, 2009)	[35]	[1]	[0.8668748140335083]
Our particular model, LinkLDA, has been applied to a few NLP tasks such as simultaneously modeling the words appearing in blog posts and users who will likely respond to them (Yano et al, 2009), modeling topic-aligned articles in different languages (Mimno et al, 2009), and word sense induction (Brody and Lapata, 2009)	[32]	[1]	[1.1827582120895386]
Our quantization approach follows Federico and Bertoldi (2006) and Heafield (2011) in partitioning the value histogram into 256 equal-sized buckets	[92]	[1]	[0.704235851764679]
Our technique for setting ? m is similar to that outlined in Foster et al (2010)	[18, 105]	[1, 1]	[0.3467164933681488, 1.0561929941177368]
Our translation system uses cdec (Dyer et al,2010), an implementation of the hierarchical phrase based translation model (Chiang, 2007) that uses the KenLM library (Heafield, 2011) for language model inference	[21]	[1]	[1.4398984909057617]
Parsing and segmentation are handled jointly by the parser (Goldberg and Tsarfaty, 2008)	[0]	[1]	[1.3668813705444336]
Performance of the latter model on the standard test set achieves 90.1% F-measure on constituents, which is the second best current accuracy level, and only 0.6% below the current best (Bod, 2003)	[140]	[1]	[0.8141494393348694]
Previous joint models mainly focus on word segmentation and POS tagging task, such as the virtual nodes method (Qian et al2010), cascaded linear model (Jiang et al2008a), perceptron (Zhang and Clark, 2008), sub-word based stacked learning (Sun, 2011), re ranking (Jiang et al2008b)	[0]	[1]	[0.6296287178993225]
Previous research in inducing sense rankings from an untagged corpus (McCarthy et al, 2004), and inducing selectional preferences at the word level (for other applications) (Erk, 2007) will provide the starting point for research in this direction	[0, 175]	[1, 1]	[1.247055172920227, 1.5022971630096436]
Pseudo-projective parsing for recovering non projective structures (Nivre and Nilsson, 2005)	[0]	[1]	[1.8098881244659424]
Pseudo-projective parsing was proposed by Nivreand Nilsson (2005) as a way of dealing with non projective structures in a projective data-driven parser	[0]	[1]	[1.7720820903778076]
Recent work by Das and Petrov (2011 ) builds a dictionary for a particular language by transferring annotated data from a resource-rich language through the use of word alignments in parallel text	[10, 160]	[1, 1]	[0.37175172567367554, 0.8764129281044006]
Regarding the data-driven parsers, we have made use of MaltParser (Nivre et al, 2007b) and MST Parser (McDonald et al, 2006), two state of the art dependency parsers representing two dominant approaches in data-driven dependency parsing, and that have been successfully applied to typologically different languages and tree banks (McDonald and Nivre, 2007)	[104]	[1]	[1.8817228078842163]
Sagae and Tsujii (2007)'s dependency parser, based on a probabilistic shift-reduce algorithm extended by the pseudo-projective parsing technique (Nivre and Nilsson, 2005)	[0, 109]	[1, 1]	[1.8849810361862183, 0.4298730492591858]
Second, we compare against a composed-rule system, which is analogous to the Data Oriented Parsing (DOP) approach in parsing (Bod, 2003)	[113]	[1]	[1.225887656211853]
Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)	[40]	[1]	[0.6751619577407837]
